team1,team2,win
pet-deer.pet-mammoth,pet-flamingo.pet-tyrannosaurus,0
pet-none.pet-worm,pet-bison.pet-llama,1
pet-gorilla.pet-dromedary,pet-camel.pet-beaver,0
pet-gorilla.pet-squirrel,pet-pig.pet-cow,0
pet-flamingo.pet-badger,pet-tiger.pet-seal,2
pet-chicken.pet-eagle,pet-whale.pet-seal,0
pet-sheep.pet-snake,pet-blowfish.pet-kangaroo,0
pet-squirrel.pet-rat,pet-turkey.pet-giraffe,1
pet-ladybug.pet-snail,pet-boar.pet-bluebird,1
pet-otter.pet-skunk,pet-elephant.pet-blowfish,1
pet-llama.pet-goat,pet-llama.pet-seal,2
pet-goat.pet-tiger,pet-sauropod.pet-rooster,1
pet-tropical-fish.pet-peacock,pet-hedgehog.pet-none,0
pet-cricket.pet-spider,pet-hatching-chick.pet-bee,0
pet-octopus.pet-tabby-cat,pet-bison.pet-sauropod,2
pet-eagle.pet-ant,pet-pig.pet-bluebird,0
pet-bluebird.pet-swan,pet-cat.pet-rat,1
pet-scorpion.pet-bat,pet-none.pet-scorpion,0
pet-hatching-chick.pet-crocodile,pet-lobster.pet-tropical-fish,2
pet-otter.pet-dirty-rat,pet-parrot.pet-camel,1
pet-whale.pet-poodle,pet-spider.pet-flamingo,0
pet-dolphin.pet-leopard,pet-camel.pet-mosquito,0
pet-deer.pet-tropical-fish,pet-sloth.pet-hippo,0
pet-seal.pet-sauropod,pet-buffalo.pet-sheep,0
pet-chicken.pet-bluebird,pet-flamingo.pet-eagle,1
pet-owl.pet-turkey,pet-worm.pet-tyrannosaurus,0
pet-pig.pet-dolphin,pet-blowfish.pet-dog,0
pet-bluebird.pet-duck,pet-rabbit.pet-flamingo,2
pet-mammoth.pet-dog,pet-fish.pet-scorpion,0
pet-caterpillar.pet-bluebird,pet-badger.pet-rooster,1
pet-bison.pet-buffalo,pet-dragon.pet-spider,1
pet-swan.pet-eagle,pet-flamingo.pet-blowfish,0
pet-mosquito.pet-llama,pet-spider.pet-tyrannosaurus,1
pet-sauropod.pet-leopard,pet-buffalo.pet-dolphin,2
pet-dog.pet-monkey,pet-kangaroo.pet-snail,0
pet-bison.pet-rabbit,pet-llama.pet-fish,0
pet-microbe.pet-boar,pet-gorilla.pet-hatching-chick,1
pet-ant.pet-seal,pet-elephant.pet-ant,0
pet-shrimp.pet-fish,pet-fish.pet-peacock,1
pet-rooster.pet-blowfish,pet-fly.pet-badger,1
pet-sauropod.pet-dodo,pet-none.pet-pig,0
pet-fly.pet-tiger,pet-crab.pet-ladybug,0
pet-mosquito.pet-rat,pet-turtle.pet-dodo,0
pet-spider.pet-tiger,pet-lobster.pet-butterfly,0
pet-rooster.pet-shrimp,pet-hatching-chick.pet-crocodile,0
pet-penguin.pet-cricket,pet-dromedary.pet-crocodile,1
pet-bee.pet-camel,pet-tropical-fish.pet-elephant,1
pet-duck.pet-octopus,pet-microbe.pet-spider,0
pet-pig.pet-llama,pet-beetle.pet-sheep,2
pet-otter.pet-mosquito,pet-sloth.pet-ox,1
pet-ladybug.pet-skunk,pet-rhino.pet-rat,1
pet-elephant.pet-none,pet-deer.pet-snail,1
pet-snail.pet-dodo,pet-tiger.pet-camel,1
pet-rhino.pet-dirty-rat,pet-sheep.pet-ox,0
pet-butterfly.pet-rooster,pet-sauropod.pet-cricket,1
pet-mosquito.pet-owl,pet-ant.pet-boar,1
pet-microbe.pet-turtle,pet-monkey.pet-bee,1
pet-rooster.pet-penguin,pet-dog.pet-cricket,0
pet-fly.pet-leopard,pet-rooster.pet-tabby-cat,0
pet-mosquito.pet-dolphin,pet-fish.pet-seal,2
pet-bluebird.pet-ox,pet-sloth.pet-otter,0
pet-sauropod.pet-tyrannosaurus,pet-sheep.pet-sheep,0
pet-gorilla.pet-bison,pet-shrimp.pet-crab,0
pet-octopus.pet-beetle,pet-puppy.pet-tabby-cat,0
pet-spider.pet-tiger,pet-sloth.pet-shrimp,0
pet-butterfly.pet-parrot,pet-elephant.pet-parrot,2
pet-ladybug.pet-skunk,pet-dog.pet-tropical-fish,0
pet-beaver.pet-eagle,pet-camel.pet-squirrel,0
pet-dragon.pet-bison,pet-none.pet-monkey,0
pet-puppy.pet-cat,pet-microbe.pet-rooster,1
pet-elephant.pet-puppy,pet-rabbit.pet-caterpillar,0
pet-tropical-fish.pet-mammoth,pet-microbe.pet-whale,2
pet-cat.pet-blowfish,pet-none.pet-puppy,0
pet-crocodile.pet-puppy,pet-cricket.pet-rabbit,0
pet-puppy.pet-crab,pet-horse.pet-llama,1
pet-turkey.pet-giraffe,pet-microbe.pet-parrot,0
pet-lobster.pet-sauropod,pet-beetle.pet-microbe,0
pet-kangaroo.pet-whale,pet-scorpion.pet-fly,1
pet-ladybug.pet-ladybug,pet-lobster.pet-blowfish,1
pet-otter.pet-seal,pet-whale.pet-ladybug,1
pet-octopus.pet-bee,pet-dirty-rat.pet-crab,0
pet-mosquito.pet-fish,pet-ox.pet-bison,1
pet-llama.pet-dog,pet-tabby-cat.pet-poodle,0
pet-buffalo.pet-crocodile,pet-goat.pet-eagle,1
pet-parrot.pet-mosquito,pet-badger.pet-mosquito,0
pet-ladybug.pet-tyrannosaurus,pet-dolphin.pet-rooster,1
pet-tiger.pet-tiger,pet-beaver.pet-spider,0
pet-penguin.pet-tyrannosaurus,pet-sheep.pet-badger,1
pet-turtle.pet-bluebird,pet-dog.pet-fish,1
pet-boar.pet-turtle,pet-bee.pet-dodo,0
pet-tabby-cat.pet-monkey,pet-horse.pet-deer,1
pet-bluebird.pet-boar,pet-lobster.pet-tyrannosaurus,2
pet-rhino.pet-horse,pet-boar.pet-shrimp,1
pet-bluebird.pet-puppy,pet-dromedary.pet-tyrannosaurus,1
pet-kangaroo.pet-skunk,pet-cow.pet-sloth,0
pet-leopard.pet-cricket,pet-deer.pet-spider,1
pet-tyrannosaurus.pet-boar,pet-scorpion.pet-turtle,0
pet-blowfish.pet-mosquito,pet-dirty-rat.pet-mammoth,0
pet-microbe.pet-elephant,pet-leopard.pet-sauropod,1
pet-gorilla.pet-dirty-rat,pet-rooster.pet-sauropod,1
pet-tiger.pet-dodo,pet-cat.pet-lobster,1
pet-hatching-chick.pet-dragon,pet-cow.pet-beetle,0
pet-hippo.pet-parrot,pet-puppy.pet-peacock,0
pet-mosquito.pet-dragon,pet-turkey.pet-sauropod,2
pet-bee.pet-shrimp,pet-rhino.pet-goat,1
pet-squirrel.pet-seal,pet-mosquito.pet-bat,0
pet-squirrel.pet-spider,pet-crab.pet-mammoth,1
pet-shrimp.pet-tiger,pet-sauropod.pet-leopard,1
pet-hatching-chick.pet-beaver,pet-turkey.pet-tabby-cat,1
pet-hedgehog.pet-tabby-cat,pet-hippo.pet-penguin,2
pet-cricket.pet-elephant,pet-eagle.pet-rat,1
pet-dragon.pet-tropical-fish,pet-turtle.pet-bat,0
pet-sauropod.pet-beetle,pet-penguin.pet-snail,0
pet-squirrel.pet-dragon,pet-elephant.pet-mosquito,0
pet-dirty-rat.pet-beaver,pet-cat.pet-dragon,1
pet-butterfly.pet-elephant,pet-horse.pet-dodo,0
pet-kangaroo.pet-monkey,pet-hedgehog.pet-tropical-fish,1
pet-pig.pet-snake,pet-dragon.pet-blowfish,2
pet-caterpillar.pet-sheep,pet-dolphin.pet-rhino,1
pet-spider.pet-kangaroo,pet-elephant.pet-none,0
pet-spider.pet-goat,pet-horse.pet-worm,0
pet-crab.pet-ant,pet-peacock.pet-bat,2
pet-bluebird.pet-spider,pet-cow.pet-cricket,1
pet-dromedary.pet-seal,pet-cow.pet-rat,1
pet-rhino.pet-ant,pet-dirty-rat.pet-otter,0
pet-none.pet-turkey,pet-deer.pet-mosquito,1
pet-hatching-chick.pet-crocodile,pet-sauropod.pet-skunk,1
pet-sheep.pet-swan,pet-goat.pet-kangaroo,1
pet-swan.pet-poodle,pet-duck.pet-leopard,1
pet-swan.pet-hedgehog,pet-turkey.pet-snail,2
pet-duck.pet-mosquito,pet-turtle.pet-chicken,0
pet-cricket.pet-horse,pet-sloth.pet-tyrannosaurus,2
pet-squirrel.pet-rabbit,pet-ox.pet-snake,1
pet-bison.pet-shrimp,pet-tiger.pet-bee,0
pet-hippo.pet-hedgehog,pet-octopus.pet-crocodile,1
pet-dromedary.pet-cow,pet-bat.pet-rhino,2
pet-monkey.pet-rabbit,pet-turtle.pet-horse,1
pet-skunk.pet-kangaroo,pet-owl.pet-parrot,0
pet-skunk.pet-bluebird,pet-snake.pet-turtle,1
pet-scorpion.pet-mosquito,pet-ant.pet-rooster,1
pet-buffalo.pet-camel,pet-chicken.pet-beetle,0
pet-ant.pet-dragon,pet-dragon.pet-tropical-fish,0
pet-microbe.pet-snake,pet-dirty-rat.pet-blowfish,0
pet-ant.pet-shrimp,pet-skunk.pet-flamingo,1
pet-boar.pet-scorpion,pet-elephant.pet-shrimp,0
pet-ant.pet-caterpillar,pet-dog.pet-ox,1
pet-cat.pet-deer,pet-peacock.pet-shrimp,0
pet-bat.pet-spider,pet-hatching-chick.pet-beetle,0
pet-crocodile.pet-beetle,pet-rhino.pet-puppy,0
pet-snail.pet-cat,pet-butterfly.pet-fish,2
pet-gorilla.pet-dolphin,pet-turtle.pet-sloth,0
pet-spider.pet-crocodile,pet-bluebird.pet-elephant,0
pet-microbe.pet-beaver,pet-crocodile.pet-monkey,1
pet-flamingo.pet-skunk,pet-tiger.pet-otter,0
pet-seal.pet-tiger,pet-blowfish.pet-parrot,2
pet-shrimp.pet-otter,pet-owl.pet-poodle,1
pet-lobster.pet-microbe,pet-eagle.pet-crab,1
pet-crocodile.pet-beetle,pet-elephant.pet-fly,0
pet-llama.pet-owl,pet-rhino.pet-blowfish,1
pet-bee.pet-turkey,pet-badger.pet-monkey,2
pet-snake.pet-sauropod,pet-ox.pet-eagle,1
pet-shrimp.pet-eagle,pet-tabby-cat.pet-cow,0
pet-bee.pet-lobster,pet-giraffe.pet-octopus,1
pet-gorilla.pet-mosquito,pet-chicken.pet-skunk,0
pet-scorpion.pet-tabby-cat,pet-dragon.pet-sheep,1
pet-turtle.pet-mosquito,pet-sheep.pet-deer,1
pet-bat.pet-microbe,pet-turtle.pet-dirty-rat,1
pet-rhino.pet-turkey,pet-spider.pet-hedgehog,0
pet-leopard.pet-bluebird,pet-hatching-chick.pet-badger,0
pet-octopus.pet-turtle,pet-ant.pet-eagle,1
pet-worm.pet-caterpillar,pet-beetle.pet-whale,1
pet-giraffe.pet-tyrannosaurus,pet-peacock.pet-duck,2
pet-cricket.pet-caterpillar,pet-octopus.pet-skunk,1
pet-hippo.pet-bluebird,pet-owl.pet-beaver,0
pet-owl.pet-poodle,pet-horse.pet-tiger,0
pet-boar.pet-dolphin,pet-camel.pet-crocodile,0
pet-gorilla.pet-microbe,pet-snake.pet-rat,0
pet-duck.pet-hippo,pet-llama.pet-otter,0
pet-squirrel.pet-chicken,pet-turtle.pet-crab,1
pet-hatching-chick.pet-puppy,pet-sloth.pet-tabby-cat,1
pet-camel.pet-butterfly,pet-beaver.pet-goat,2
pet-fish.pet-worm,pet-none.pet-hatching-chick,0
pet-scorpion.pet-horse,pet-dirty-rat.pet-duck,1
pet-badger.pet-leopard,pet-snake.pet-gorilla,1
pet-lobster.pet-none,pet-bluebird.pet-pig,2
pet-eagle.pet-mosquito,pet-elephant.pet-sheep,0
pet-tabby-cat.pet-otter,pet-dirty-rat.pet-chicken,0
pet-ladybug.pet-parrot,pet-none.pet-deer,1
pet-horse.pet-rabbit,pet-dolphin.pet-goat,1
pet-llama.pet-hippo,pet-owl.pet-hippo,2
pet-deer.pet-boar,pet-poodle.pet-seal,0
pet-deer.pet-flamingo,pet-boar.pet-crocodile,1
pet-hatching-chick.pet-fly,pet-puppy.pet-tabby-cat,0
pet-crocodile.pet-badger,pet-sauropod.pet-caterpillar,2
pet-bison.pet-gorilla,pet-tabby-cat.pet-squirrel,0
pet-cow.pet-tyrannosaurus,pet-cow.pet-ant,0
pet-beetle.pet-crab,pet-lobster.pet-chicken,1
pet-whale.pet-ant,pet-cricket.pet-swan,0
pet-rooster.pet-blowfish,pet-tiger.pet-butterfly,2
pet-tiger.pet-dodo,pet-cat.pet-sloth,0
pet-dragon.pet-beaver,pet-llama.pet-ox,0
pet-mammoth.pet-llama,pet-butterfly.pet-hippo,2
pet-rooster.pet-duck,pet-caterpillar.pet-sauropod,1
pet-goat.pet-snake,pet-worm.pet-horse,0
pet-beetle.pet-flamingo,pet-goat.pet-deer,1
pet-horse.pet-rabbit,pet-skunk.pet-shrimp,1
pet-deer.pet-horse,pet-bison.pet-rhino,1
pet-swan.pet-mosquito,pet-kangaroo.pet-worm,0
pet-camel.pet-cat,pet-dromedary.pet-owl,0
pet-worm.pet-whale,pet-llama.pet-tiger,0
pet-kangaroo.pet-rhino,pet-cat.pet-snail,0
pet-rhino.pet-turtle,pet-monkey.pet-hedgehog,0
pet-dromedary.pet-giraffe,pet-turkey.pet-spider,0
pet-bee.pet-beaver,pet-ladybug.pet-giraffe,1
pet-puppy.pet-squirrel,pet-ant.pet-ox,1
pet-gorilla.pet-bison,pet-seal.pet-badger,0
pet-swan.pet-skunk,pet-rooster.pet-sauropod,1
pet-octopus.pet-dirty-rat,pet-llama.pet-llama,0
pet-fly.pet-hippo,pet-eagle.pet-bee,0
pet-duck.pet-snake,pet-tiger.pet-microbe,2
pet-horse.pet-sloth,pet-flamingo.pet-sloth,1
pet-ladybug.pet-butterfly,pet-camel.pet-ox,1
pet-badger.pet-tropical-fish,pet-swan.pet-octopus,2
pet-owl.pet-otter,pet-fish.pet-owl,0
pet-dolphin.pet-buffalo,pet-llama.pet-hedgehog,0
pet-llama.pet-snake,pet-horse.pet-deer,0
pet-rooster.pet-penguin,pet-rabbit.pet-beaver,0
pet-sheep.pet-leopard,pet-hedgehog.pet-camel,0
pet-turtle.pet-blowfish,pet-skunk.pet-skunk,1
pet-rabbit.pet-dromedary,pet-snail.pet-rat,1
pet-swan.pet-ant,pet-eagle.pet-ladybug,1
pet-none.pet-hippo,pet-mammoth.pet-dirty-rat,1
pet-goat.pet-beaver,pet-kangaroo.pet-duck,0
pet-swan.pet-swan,pet-dolphin.pet-mosquito,1
pet-horse.pet-skunk,pet-owl.pet-ant,0
pet-hippo.pet-giraffe,pet-swan.pet-bat,0
pet-badger.pet-swan,pet-squirrel.pet-rabbit,2
pet-beetle.pet-fly,pet-eagle.pet-duck,0
pet-bison.pet-rooster,pet-giraffe.pet-butterfly,0
pet-sheep.pet-cow,pet-crocodile.pet-ladybug,2
pet-deer.pet-monkey,pet-squirrel.pet-elephant,0
pet-bee.pet-dirty-rat,pet-peacock.pet-octopus,1
pet-fish.pet-flamingo,pet-turkey.pet-cricket,1
pet-owl.pet-tabby-cat,pet-whale.pet-ladybug,1
pet-ladybug.pet-microbe,pet-snail.pet-octopus,1
pet-dodo.pet-camel,pet-peacock.pet-worm,2
pet-rhino.pet-swan,pet-dirty-rat.pet-dolphin,0
pet-seal.pet-mammoth,pet-worm.pet-none,0
pet-dodo.pet-horse,pet-bee.pet-ladybug,0
pet-ladybug.pet-pig,pet-dodo.pet-fish,1
pet-mammoth.pet-bat,pet-hippo.pet-boar,1
pet-gorilla.pet-caterpillar,pet-rhino.pet-bat,0
pet-ant.pet-dodo,pet-swan.pet-snail,0
pet-blowfish.pet-skunk,pet-parrot.pet-eagle,1
pet-rabbit.pet-parrot,pet-eagle.pet-octopus,1
pet-beetle.pet-worm,pet-dirty-rat.pet-pig,0
pet-dirty-rat.pet-cow,pet-rooster.pet-deer,1
pet-dog.pet-bluebird,pet-lobster.pet-leopard,1
pet-blowfish.pet-chicken,pet-octopus.pet-bison,1
pet-ox.pet-hippo,pet-puppy.pet-bison,2
pet-whale.pet-dog,pet-snake.pet-sheep,1
pet-gorilla.pet-parrot,pet-squirrel.pet-eagle,2
pet-turtle.pet-elephant,pet-owl.pet-tyrannosaurus,1
pet-lobster.pet-tropical-fish,pet-goat.pet-turtle,0
pet-ladybug.pet-fly,pet-beetle.pet-rhino,0
pet-duck.pet-scorpion,pet-tyrannosaurus.pet-rat,1
pet-gorilla.pet-skunk,pet-swan.pet-leopard,0
pet-eagle.pet-shrimp,pet-mosquito.pet-gorilla,1
pet-otter.pet-kangaroo,pet-turtle.pet-leopard,1
pet-duck.pet-cat,pet-goat.pet-snake,1
pet-otter.pet-cricket,pet-cat.pet-ant,1
pet-rhino.pet-penguin,pet-dog.pet-penguin,0
pet-ladybug.pet-cow,pet-tiger.pet-tiger,2
pet-bison.pet-chicken,pet-whale.pet-chicken,2
pet-butterfly.pet-dog,pet-cow.pet-none,1
pet-rabbit.pet-eagle,pet-none.pet-none,0
pet-penguin.pet-spider,pet-kangaroo.pet-microbe,0
pet-tabby-cat.pet-ox,pet-leopard.pet-goat,1
pet-octopus.pet-owl,pet-sheep.pet-mosquito,0
pet-octopus.pet-sauropod,pet-dromedary.pet-sloth,0
pet-rabbit.pet-hedgehog,pet-duck.pet-cricket,0
pet-tyrannosaurus.pet-spider,pet-rhino.pet-fly,1
pet-caterpillar.pet-monkey,pet-cat.pet-cat,1
pet-cricket.pet-dolphin,pet-skunk.pet-none,0
pet-hatching-chick.pet-crab,pet-bison.pet-boar,1
pet-caterpillar.pet-sloth,pet-fish.pet-tiger,1
pet-giraffe.pet-crab,pet-buffalo.pet-cow,1
pet-mosquito.pet-flamingo,pet-poodle.pet-rhino,1
pet-tabby-cat.pet-sauropod,pet-dragon.pet-gorilla,1
pet-squirrel.pet-eagle,pet-fish.pet-microbe,0
pet-microbe.pet-ant,pet-dolphin.pet-hippo,1
pet-badger.pet-deer,pet-shrimp.pet-bluebird,0
pet-tyrannosaurus.pet-tyrannosaurus,pet-mosquito.pet-turkey,0
pet-beaver.pet-crocodile,pet-blowfish.pet-duck,2
pet-tabby-cat.pet-rooster,pet-blowfish.pet-camel,0
pet-crocodile.pet-tyrannosaurus,pet-rat.pet-beaver,0
pet-snail.pet-hippo,pet-shrimp.pet-kangaroo,0
pet-eagle.pet-ant,pet-cricket.pet-rabbit,0
pet-ladybug.pet-hedgehog,pet-tropical-fish.pet-chicken,2
pet-mammoth.pet-skunk,pet-rat.pet-squirrel,0
pet-beetle.pet-fly,pet-fly.pet-mammoth,1
pet-ladybug.pet-butterfly,pet-squirrel.pet-bat,1
pet-none.pet-peacock,pet-crab.pet-horse,1
pet-lobster.pet-bat,pet-bison.pet-beetle,1
pet-puppy.pet-giraffe,pet-rat.pet-fly,1
pet-elephant.pet-caterpillar,pet-turtle.pet-tiger,1
pet-tabby-cat.pet-pig,pet-leopard.pet-bee,1
pet-tabby-cat.pet-seal,pet-cat.pet-bat,0
pet-sheep.pet-bat,pet-crocodile.pet-rhino,1
pet-shrimp.pet-dodo,pet-dragon.pet-deer,1
pet-bee.pet-turkey,pet-sheep.pet-chicken,1
pet-hippo.pet-spider,pet-pig.pet-elephant,0
pet-bat.pet-cow,pet-eagle.pet-dog,1
pet-scorpion.pet-octopus,pet-duck.pet-dog,0
pet-peacock.pet-scorpion,pet-owl.pet-bluebird,1
pet-turtle.pet-scorpion,pet-buffalo.pet-poodle,1
pet-puppy.pet-kangaroo,pet-bee.pet-seal,1
pet-ox.pet-cricket,pet-owl.pet-bison,1
pet-ant.pet-shrimp,pet-turkey.pet-seal,1
pet-worm.pet-seal,pet-horse.pet-camel,0
pet-sheep.pet-dodo,pet-goat.pet-blowfish,1
pet-fish.pet-giraffe,pet-camel.pet-sheep,1
pet-turtle.pet-scorpion,pet-snake.pet-microbe,1
pet-ant.pet-puppy,pet-octopus.pet-ox,1
pet-octopus.pet-sheep,pet-tiger.pet-octopus,0
pet-crab.pet-sloth,pet-blowfish.pet-beaver,1
pet-beetle.pet-worm,pet-sheep.pet-leopard,1
pet-tropical-fish.pet-bluebird,pet-deer.pet-butterfly,1
pet-crab.pet-camel,pet-shrimp.pet-shrimp,0
pet-spider.pet-goat,pet-goat.pet-peacock,1
pet-elephant.pet-mammoth,pet-cat.pet-bee,0
pet-cow.pet-gorilla,pet-whale.pet-duck,0
pet-buffalo.pet-hatching-chick,pet-leopard.pet-flamingo,1
pet-bison.pet-bison,pet-bat.pet-camel,0
pet-microbe.pet-lobster,pet-dolphin.pet-otter,1
pet-rabbit.pet-rabbit,pet-dromedary.pet-dolphin,1
pet-eagle.pet-rabbit,pet-rhino.pet-tabby-cat,2
pet-leopard.pet-turtle,pet-cow.pet-buffalo,1
pet-caterpillar.pet-kangaroo,pet-dodo.pet-whale,1
pet-puppy.pet-dirty-rat,pet-kangaroo.pet-ladybug,1
pet-chicken.pet-shrimp,pet-leopard.pet-turkey,1
pet-fly.pet-peacock,pet-dog.pet-peacock,0
pet-hatching-chick.pet-rhino,pet-owl.pet-chicken,0
pet-bat.pet-hatching-chick,pet-pig.pet-blowfish,1
pet-butterfly.pet-ant,pet-hatching-chick.pet-sloth,2
pet-squirrel.pet-kangaroo,pet-parrot.pet-deer,1
pet-boar.pet-rat,pet-cat.pet-crab,0
pet-lobster.pet-rhino,pet-sheep.pet-goat,2
pet-turtle.pet-cow,pet-bluebird.pet-rabbit,0
pet-bee.pet-spider,pet-spider.pet-tiger,1
pet-peacock.pet-gorilla,pet-dodo.pet-poodle,0
pet-sauropod.pet-dog,pet-sheep.pet-fish,0
pet-swan.pet-caterpillar,pet-tabby-cat.pet-fly,1
pet-seal.pet-blowfish,pet-sauropod.pet-hippo,1
pet-kangaroo.pet-goat,pet-eagle.pet-bee,1
pet-badger.pet-puppy,pet-caterpillar.pet-hedgehog,2
pet-pig.pet-kangaroo,pet-fish.pet-puppy,0
pet-crocodile.pet-horse,pet-beetle.pet-poodle,0
pet-dodo.pet-beetle,pet-sauropod.pet-horse,1
pet-poodle.pet-penguin,pet-flamingo.pet-dolphin,1
pet-parrot.pet-deer,pet-ant.pet-cat,0
pet-deer.pet-tiger,pet-seal.pet-horse,0
pet-fish.pet-cow,pet-beaver.pet-rhino,1
pet-dog.pet-llama,pet-none.pet-poodle,0
pet-poodle.pet-beaver,pet-turtle.pet-sauropod,1
pet-crocodile.pet-crab,pet-hatching-chick.pet-hatching-chick,0
pet-swan.pet-tyrannosaurus,pet-crab.pet-seal,2
pet-mammoth.pet-blowfish,pet-rat.pet-peacock,0
pet-fly.pet-dolphin,pet-parrot.pet-octopus,0
pet-tabby-cat.pet-hatching-chick,pet-none.pet-eagle,1
pet-skunk.pet-skunk,pet-rabbit.pet-dirty-rat,0
pet-owl.pet-dodo,pet-duck.pet-parrot,0
pet-turtle.pet-turtle,pet-penguin.pet-worm,2
pet-beetle.pet-monkey,pet-beetle.pet-crab,1
pet-boar.pet-dromedary,pet-dirty-rat.pet-chicken,0
pet-bat.pet-leopard,pet-sheep.pet-bluebird,2
pet-crab.pet-sloth,pet-giraffe.pet-fish,1
pet-penguin.pet-blowfish,pet-duck.pet-elephant,0
pet-poodle.pet-gorilla,pet-turkey.pet-hatching-chick,0
pet-bee.pet-sheep,pet-cat.pet-rhino,1
pet-fly.pet-elephant,pet-pig.pet-beaver,0
pet-mammoth.pet-rooster,pet-peacock.pet-buffalo,0
pet-mosquito.pet-dromedary,pet-otter.pet-ladybug,0
pet-dromedary.pet-blowfish,pet-monkey.pet-hatching-chick,0
pet-tropical-fish.pet-worm,pet-cat.pet-fish,1
pet-dodo.pet-bluebird,pet-squirrel.pet-flamingo,0
pet-sheep.pet-rooster,pet-flamingo.pet-bluebird,0
pet-worm.pet-crocodile,pet-otter.pet-mosquito,0
pet-elephant.pet-owl,pet-microbe.pet-dodo,2
pet-fish.pet-blowfish,pet-rabbit.pet-dodo,0
pet-deer.pet-spider,pet-dodo.pet-turkey,0
pet-beetle.pet-llama,pet-sloth.pet-fly,1
pet-caterpillar.pet-squirrel,pet-pig.pet-shrimp,1
pet-caterpillar.pet-tropical-fish,pet-flamingo.pet-kangaroo,1
pet-cow.pet-tabby-cat,pet-mosquito.pet-kangaroo,0
